study,station.x,operatn,year,X,Y,Tax_Div,Tax_Even,Tax_Rich,logab,logabI,Strahler,Catchment6_size,Ships,Ports,Locks,Channelization,Rip_Deg,Urban_new,Agriculture_new,fric_new,feve_new,fdiv_new,ports_5k,locks_5k
BelgianH,BelgianH_122100,BelgianH_122100_2005_21219182,2005,5.8,51.094,11.7408313,0.690637135,17,4.59511985,3.135494216,6,1.599819171,0.217954942,0.435734609,0.258917989,0.026994309,-0.953120981,-0.306740507,1.064173314,0.141498651,0.698459,0.70588261,1.207217158,-0.599130499
BelgianH,BelgianH_122100,BelgianH_122100_2006_21282201,2006,5.8,51.094,7.481322456,0.340060112,22,5.579729826,4.025351691,6,1.599819171,0.217954942,0.435734609,0.258917989,0.026994309,-0.953120981,-0.306740507,1.064173314,0.17962796,0.512477,0.646474177,1.207217158,-0.599130499
BelgianH,BelgianH_122100,BelgianH_122100_2007_21316817,2007,5.8,51.094,2.631578947,0.526315789,5,3.044522438,0,6,1.599819171,0.217954942,0.435734609,0.258917989,0.026994309,-0.953120981,-0.306740507,1.064173314,0.02001493,0.392151,0.763409483,1.207217158,-0.599130499
BelgianH,BelgianH_122100,BelgianH_122100_2007_21341879,2007,5.8,51.094,6.706038564,0.352949398,19,5.488937726,2.708050201,6,1.599819171,0.217954942,0.435734609,0.258917989,0.026994309,-0.953120981,-0.306740507,1.064173314,0.202279691,0.4761,0.51750085,1.207217158,-0.599130499
BelgianH,BelgianH_122100,BelgianH_122100_2010_21498428,2010,5.8,51.094,4.934327939,0.234967997,21,6.823286122,4.919980926,6,1.599819171,0.217954942,0.435734609,0.258917989,0.026994309,-0.953120981,-0.306740507,1.064173314,0.20392898,0.412325,0.440582967,1.207217158,-0.599130499
BelgianH,BelgianH_122500,BelgianH_122500_1994_250942,1994,5.762,51.041,5.87755102,0.53432282,11,3.891820298,1.098612289,6,1.599819171,0.217954942,0.435734609,0.258917989,0.026994309,-0.934454106,-0.518697626,1.256056583,0.046178043,0.607254,0.774664127,1.207217158,0.169240002
BelgianH,BelgianH_122500,BelgianH_122500_1995_250943,1995,5.762,51.041,12.84189723,0.513675889,25,4.744932128,2.708050201,6,1.599819171,0.217954942,0.435734609,0.258917989,0.026994309,-0.934454106,-0.518697626,1.256056583,0.177315164,0.646758,0.750896967,1.207217158,0.169240002
BelgianH,BelgianH_122500,BelgianH_122500_1996_324851,1996,5.762,51.041,10.88128773,0.572699354,19,4.65396035,2.48490665,6,1.599819171,0.217954942,0.435734609,0.258917989,0.026994309,-0.934454106,-0.518697626,1.256056583,0.314355051,0.400444,0.496539552,1.207217158,0.169240002
BelgianH,BelgianH_122500,BelgianH_122500_1997_982115,1997,5.762,51.041,12.61097659,0.700609811,18,4.836281907,2.63905733,6,1.599819171,0.217954942,0.435734609,0.258917989,0.026994309,-0.934454106,-0.518697626,1.256056583,0.206670274,0.844233,0.808080601,1.207217158,0.169240002
BelgianH,BelgianH_122500,BelgianH_122500_1998_996013,1998,5.762,51.041,15.02347418,0.834637454,18,5.081404365,3.218875825,6,1.599819171,0.217954942,0.435734609,0.258917989,0.026994309,-0.934454106,-0.518697626,1.256056583,0.169781154,0.771153,0.691496523,1.207217158,0.169240002
BelgianH,BelgianH_122500,BelgianH_122500_1999_11023371,1999,5.762,51.041,9.36,0.550588235,17,4.369447852,1.609437912,6,1.599819171,0.217954942,0.435734609,0.258917989,0.026994309,-0.934454106,-0.518697626,1.256056583,0.218553913,0.538809,0.675514677,1.207217158,0.169240002
BelgianH,BelgianH_122500,BelgianH_122500_2000_21033384,2000,5.762,51.041,4.764122137,0.297757634,16,5.068904202,1.098612289,6,1.599819171,0.217954942,0.435734609,0.258917989,0.026994309,-0.934454106,-0.518697626,1.256056583,0.141159099,0.449231,0.636012648,1.207217158,0.169240002
BelgianH,BelgianH_122500,BelgianH_122500_2002_21094897,2002,5.762,51.041,12.08508015,0.710887068,17,4.605170186,2.079441542,6,1.599819171,0.217954942,0.435734609,0.258917989,0.026994309,-0.934454106,-0.518697626,1.256056583,0.119163621,0.642303,0.651877847,1.207217158,0.169240002
BelgianH,BelgianH_123000,BelgianH_123000_1993_250954,1993,5.68,50.888,3.21849977,0.139934773,23,5.236441963,2.48490665,6,1.599819171,0.123270556,1.501397643,-0.170008962,0.004097659,-0.085210415,1.046912687,0.305211389,0.238223862,0.575068,0.702885681,1.207217158,0.937610503
