"","ships","canals","ports","locks"
"GermanH_41_1997",-0.210984003047934,-0.373789110209708,-0.541494254,-0.599130499
"GermanH_42_1997",-0.210984003047934,-0.373789110209708,-0.541494254,-0.599130499
"GermanH_39_1997",-0.210984003047934,-0.373789110209708,-0.541494254,-0.599130499
"GermanH_55_1997",-0.514667862060474,-0.138136149146722,-0.541494254,-0.599130499
"GermanH_56_1997",-0.514667862060474,-0.138136149146722,-0.541494254,-0.599130499
"GermanH_57_1997",-0.514667862060474,-0.138136149146722,-0.541494254,-0.599130499
"GermanH_58_1997",-0.514667862060474,-0.138136149146722,-0.541494254,-0.599130499
"GermanH_59_1997",-0.514667862060474,-0.138136149146722,-0.541494254,-0.599130499
"GermanH_60_1997",-0.514667862060474,-0.138136149146722,-0.541494254,-0.599130499
"GermanH_61_1997",-0.514667862060474,-0.138136149146722,-0.541494254,-0.599130499
"GermanH_62_1997",-0.408635691533666,-0.350509326833845,-0.541494254,-0.599130499
"GermanH_36_1997",-0.390219098054053,-0.480778676616664,-0.541494254,0.169240002
"GermanH_35_1997",-0.390219098054053,-0.480778676616664,-0.541494254,0.169240002
"GermanH_54_1997",-0.390219098054053,-0.480778676616664,-0.541494254,0.169240002
"GermanH_14_1997",-0.497024589887433,-0.690796885893978,-0.541494254,-0.599130499
"GermanH_32_1997",2.30283363213076,-0.499472139536871,2.955928569,0.169240002
"GermanH_64_1997",-0.0832696673838067,-0.71802453138826,-0.541494254,0.937610503
"GermanH_45_1997",-0.237005236700352,0.466030888866654,-0.541494254,0.169240002
"GermanH_46_1997",-0.356733451888154,0.158602332598067,-0.541494254,-0.599130499
"GermanH_22_1997",3.40094952924675,3.33745270899691,1.207217158,-0.599130499
"GermanH_19_1997",0.1949482861642,-0.634374873184984,-0.541494254,-0.599130499
"GermanH_20_1997",0.1949482861642,-0.634374873184984,-0.541494254,-0.599130499
"GermanH_65_1997",-0.49166054896141,-0.797169093177678,-0.541494254,0.937610503
"GermanH_66_1998",-0.547031827788713,-0.817860001235167,-0.541494254,-0.599130499
"GermanH_32_1998",2.30283363213076,-0.499472139536871,2.955928569,0.169240002
"GermanH_67_1998",2.63653437163681,-0.154026977209732,2.955928569,0.937610503
"GermanH_68_1998",1.28501477395234,-0.716347170316738,-0.541494254,-0.599130499
"GermanH_69_1998",-0.548479758000231,-0.134631828817319,-0.541494254,-0.599130499
"GermanH_70_1998",-0.495173138392514,-0.289368088010522,-0.541494254,0.169240002
"GermanH_38_1998",-0.526928718170078,0.169085081345034,2.955928569,-0.599130499
"GermanH_43_1998",-0.237005236700352,0.466030888866654,2.955928569,-0.599130499
"GermanH_44_1998",-0.237005236700352,0.466030888866654,-0.541494254,0.169240002
"GermanH_45_1998",-0.237005236700352,0.466030888866654,-0.541494254,0.169240002
"GermanH_71_1998",-0.548501904097531,-0.641346832587066,-0.541494254,-0.599130499
"GermanH_72_1998",2.63653437163681,-0.154026977209732,2.955928569,2.474351505
"GermanH_46_1998",-0.356733451888154,0.158602332598067,-0.541494254,-0.599130499
"GermanH_12_1998",-0.356733451888154,0.158602332598067,-0.541494254,0.169240002
"GermanH_74_1998",-0.49105477665844,-0.183974341351875,-0.541494254,0.169240002
"GermanH_76_1998",-0.495343983796773,-0.611907735642247,-0.541494254,0.937610503
"GermanH_8_1998",3.51071347739616,-0.574355629572732,1.207217158,-0.599130499
"GermanH_22_1998",3.40094952924675,3.33745270899691,1.207217158,-0.599130499
"GermanH_11_1998",2.37729049823537,-0.223825486168737,-0.541494254,-0.599130499
"GermanH_77_1998",-0.408635691533666,-0.350509326833845,-0.541494254,-0.599130499
"GermanH_78_1998",2.63653437163681,-0.154026977209732,-0.541494254,-0.599130499
"GermanH_55_1998",-0.514667862060474,-0.138136149146722,-0.541494254,-0.599130499
"GermanH_56_1998",-0.514667862060474,-0.138136149146722,-0.541494254,-0.599130499
"GermanH_57_1998",-0.514667862060474,-0.138136149146722,-0.541494254,-0.599130499
"GermanH_58_1998",-0.514667862060474,-0.138136149146722,-0.541494254,-0.599130499
"GermanH_59_1998",-0.514667862060474,-0.138136149146722,-0.541494254,-0.599130499
"GermanH_60_1998",-0.514667862060474,-0.138136149146722,-0.541494254,-0.599130499
"GermanH_61_1998",-0.514667862060474,-0.138136149146722,-0.541494254,-0.599130499
"GermanH_17_1998",-0.548437404864841,-0.714416072248321,-0.541494254,-0.599130499
"GermanH_18_1998",-0.548073517951706,-0.688876346245925,-0.541494254,-0.599130499
"GermanH_19_1998",0.1949482861642,-0.634374873184984,-0.541494254,-0.599130499
"GermanH_13_1998",-0.497024589887433,-0.690796885893978,-0.541494254,-0.599130499
"GermanH_14_1998",-0.497024589887433,-0.690796885893978,-0.541494254,-0.599130499
"GermanH_79_1998",-0.094703219798973,-0.592064938429191,1.207217158,0.937610503
"GermanH_80_1998",-0.536156197818544,-0.536969708456793,-0.541494254,0.169240002
"GermanH_81_1999",-0.539565787486052,-0.839717464915548,-0.541494254,-0.599130499
"GermanH_76_1999",-0.495343983796773,-0.611907735642247,-0.541494254,0.937610503
"GermanH_32_1999",2.30283363213076,-0.499472139536871,2.955928569,0.169240002
"GermanH_67_1999",2.63653437163681,-0.154026977209732,2.955928569,0.937610503
"GermanH_51_1999",-0.168352091156655,0.298709345134427,-0.541494254,-0.599130499
"GermanH_52_1999",-0.210984003047934,-0.373789110209708,-0.541494254,-0.599130499
"GermanH_50_1999",-0.210984003047934,-0.373789110209708,-0.541494254,-0.599130499
"GermanH_53_1999",-0.54847047092717,-0.839717464915548,-0.541494254,-0.599130499
"GermanH_72_1999",2.63653437163681,-0.154026977209732,2.955928569,2.474351505
"GermanH_15_1999",2.63653437163681,-0.154026977209732,2.955928569,2.474351505
