station.x,SUB_AREA,UP_AREA,layer
Seine_3012100,832972.7,832972.7,hybas_eu_lev03_v1c
Seine_3012100,30654.0,30654.8,hybas_eu_lev06_v1c
Seine_3127370,73248.2,73249.2,hybas_eu_lev05_v1c
Seine_3127370,73248.2,73249.2,hybas_eu_lev04_v1c
Seine_3127370,832972.7,832972.7,hybas_eu_lev03_v1c
Seine_3127370,4079.0,65387.8,hybas_eu_lev07_v1c
Seine_3127370,4079.0,65387.8,hybas_eu_lev06_v1c
Seine_3174000,73248.2,73249.2,hybas_eu_lev05_v1c
Seine_3174000,73248.2,73249.2,hybas_eu_lev04_v1c
Seine_3174000,832972.7,832972.7,hybas_eu_lev03_v1c
Seine_3174000,4079.0,65387.8,hybas_eu_lev07_v1c
Seine_3174000,4079.0,65387.8,hybas_eu_lev06_v1c
Wolter_Danube_ATDONA163,28041.9,104350.7,hybas_eu_lev05_v1c
Wolter_Danube_ATDONA163,211260.4,211260.4,hybas_eu_lev04_v1c
Wolter_Danube_ATDONA163,28041.9,104350.7,hybas_eu_lev06_v1c
Wolter_Danube_ATDONA163,795318.4,795318.4,hybas_eu_lev03_v1c
Wolter_Danube_ATDONA163,6321.4,104350.7,hybas_eu_lev07_v1c
Wolter_Danube_ATDONA165,28041.9,104350.7,hybas_eu_lev05_v1c
Wolter_Danube_ATDONA165,211260.4,211260.4,hybas_eu_lev04_v1c
Wolter_Danube_ATDONA165,28041.9,104350.7,hybas_eu_lev06_v1c
Wolter_Danube_ATDONA165,795318.4,795318.4,hybas_eu_lev03_v1c
Wolter_Danube_ATDONA165,6321.4,104350.7,hybas_eu_lev07_v1c
Wolter_Danube_ATDONA168,28041.9,104350.7,hybas_eu_lev05_v1c
Wolter_Danube_ATDONA168,211260.4,211260.4,hybas_eu_lev04_v1c
Wolter_Danube_ATDONA168,28041.9,104350.7,hybas_eu_lev06_v1c
Wolter_Danube_ATDONA168,795318.4,795318.4,hybas_eu_lev03_v1c
Wolter_Danube_ATDONA168,6321.4,104350.7,hybas_eu_lev07_v1c
Wolter_Danube_DE1,50388.9,50388.9,hybas_eu_lev05_v1c
Wolter_Danube_DE1,211260.4,211260.4,hybas_eu_lev04_v1c
Wolter_Danube_DE1,795318.4,795318.4,hybas_eu_lev03_v1c
Wolter_Danube_DE1,3292.5,50388.3,hybas_eu_lev06_v1c
Wolter_Danube_DE1,3292.5,50388.3,hybas_eu_lev07_v1c
Wolter_Danube_DE2,50388.9,50388.9,hybas_eu_lev05_v1c
Wolter_Danube_DE2,211260.4,211260.4,hybas_eu_lev04_v1c
Wolter_Danube_DE2,795318.4,795318.4,hybas_eu_lev03_v1c
Wolter_Danube_DE2,3292.5,50388.3,hybas_eu_lev06_v1c
Wolter_Danube_DE2,3292.5,50388.3,hybas_eu_lev07_v1c
Wolter_Danube_DE3,50388.9,50388.9,hybas_eu_lev05_v1c
Wolter_Danube_DE3,211260.4,211260.4,hybas_eu_lev04_v1c
Wolter_Danube_DE3,795318.4,795318.4,hybas_eu_lev03_v1c
Wolter_Danube_DE3,3292.5,50388.3,hybas_eu_lev06_v1c
Wolter_Danube_DE3,3292.5,50388.3,hybas_eu_lev07_v1c
Wolter_Danube_DE4,50388.9,50388.9,hybas_eu_lev05_v1c
Wolter_Danube_DE4,211260.4,211260.4,hybas_eu_lev04_v1c
Wolter_Danube_DE4,795318.4,795318.4,hybas_eu_lev03_v1c
Wolter_Danube_DE4,3292.5,50388.3,hybas_eu_lev06_v1c
Wolter_Danube_DE4,3292.5,50388.3,hybas_eu_lev07_v1c
Wolter_Danube_DE5,50388.9,50388.9,hybas_eu_lev05_v1c
Wolter_Danube_DE5,211260.4,211260.4,hybas_eu_lev04_v1c
Wolter_Danube_DE5,795318.4,795318.4,hybas_eu_lev03_v1c
Wolter_Danube_DE5,3292.5,50388.3,hybas_eu_lev06_v1c
Wolter_Danube_DE5,3292.5,50388.3,hybas_eu_lev07_v1c
Wolter_Danube_DE6,50388.9,50388.9,hybas_eu_lev05_v1c
Wolter_Danube_DE6,211260.4,211260.4,hybas_eu_lev04_v1c
Wolter_Danube_DE6,795318.4,795318.4,hybas_eu_lev03_v1c
Wolter_Danube_DE6,3292.5,50388.3,hybas_eu_lev06_v1c
Wolter_Danube_DE6,3292.5,50388.3,hybas_eu_lev07_v1c
Wolter_Danube_DE7,50388.9,50388.9,hybas_eu_lev05_v1c
Wolter_Danube_DE7,211260.4,211260.4,hybas_eu_lev04_v1c
Wolter_Danube_DE7,795318.4,795318.4,hybas_eu_lev03_v1c
Wolter_Danube_DE7,3292.5,50388.3,hybas_eu_lev06_v1c
Wolter_Danube_DE7,3292.5,50388.3,hybas_eu_lev07_v1c
Wolter_Danube_DE8,50388.9,50388.9,hybas_eu_lev05_v1c
Wolter_Danube_DE8,211260.4,211260.4,hybas_eu_lev04_v1c
Wolter_Danube_DE8,795318.4,795318.4,hybas_eu_lev03_v1c
Wolter_Danube_DE8,3292.5,50388.3,hybas_eu_lev06_v1c
Wolter_Danube_DE8,3292.5,50388.3,hybas_eu_lev07_v1c
Wolter_Danube_DE9,50388.9,50388.9,hybas_eu_lev05_v1c
Wolter_Danube_DE9,211260.4,211260.4,hybas_eu_lev04_v1c
Wolter_Danube_DE9,795318.4,795318.4,hybas_eu_lev03_v1c
Wolter_Danube_DE9,3292.5,50388.3,hybas_eu_lev06_v1c
Wolter_Danube_DE9,3292.5,50388.3,hybas_eu_lev07_v1c
Wolter_Danube_DE10,50388.9,50388.9,hybas_eu_lev05_v1c
Wolter_Danube_DE10,211260.4,211260.4,hybas_eu_lev04_v1c
Wolter_Danube_DE10,795318.4,795318.4,hybas_eu_lev03_v1c
Wolter_Danube_DE10,3292.5,50388.3,hybas_eu_lev06_v1c
Wolter_Danube_DE10,3292.5,50388.3,hybas_eu_lev07_v1c
Wolter_Danube_DE11,50388.9,50388.9,hybas_eu_lev05_v1c
Wolter_Danube_DE11,211260.4,211260.4,hybas_eu_lev04_v1c
Wolter_Danube_DE11,795318.4,795318.4,hybas_eu_lev03_v1c
Wolter_Danube_DE11,3292.5,50388.3,hybas_eu_lev06_v1c
Wolter_Danube_DE11,3292.5,50388.3,hybas_eu_lev07_v1c
Wolter_Danube_DE12,50388.9,50388.9,hybas_eu_lev05_v1c
Wolter_Danube_DE12,211260.4,211260.4,hybas_eu_lev04_v1c
Wolter_Danube_DE12,795318.4,795318.4,hybas_eu_lev03_v1c
Wolter_Danube_DE12,3292.5,50388.3,hybas_eu_lev06_v1c
Wolter_Danube_DE12,3292.5,50388.3,hybas_eu_lev07_v1c
Wolter_Danube_SK38,716.1,131624.9,hybas_eu_lev05_v1c
Wolter_Danube_SK38,211260.4,211260.4,hybas_eu_lev04_v1c
Wolter_Danube_SK38,795318.4,795318.4,hybas_eu_lev03_v1c
Wolter_Danube_SK38,716.1,131624.9,hybas_eu_lev06_v1c
Wolter_Danube_SK38,716.1,131624.9,hybas_eu_lev07_v1c
