"","prop_canal","ships","sumports","sumlocks"
"Seine_100000891",1.97562202388639,-0.825000989742522,-0.5615262,2.866755
"Seine_100000895",2.21973268360424,-0.821955989414856,-0.5615262,2.866755
"Seine_100000896",2.21973268360424,-0.821955989414856,-0.5615262,2.866755
"Seine_100000944",-1.57830179653315,-0.8263147361525,-0.5615262,-0.4940378
"Seine_100000953",-0.966396337033058,-0.82629429170943,-0.5615262,-0.4940378
"Seine_100000954",-0.966396337033058,-0.82629429170943,-0.5615262,-0.4940378
"Seine_10090002337",1.61682084591091,-0.780789468271169,-0.5615262,2.026557
"Seine_10090002446",1.61682084591091,-0.780789468271169,-0.5615262,-0.4940378
"Seine_10090002563",1.61682084591091,-0.780789468271169,-0.5615262,2.026557
"Seine_10090002681",1.61682084591091,-0.780789468271169,-0.5615262,-0.4940378
"Seine_10090002752",1.61682084591091,-0.780789468271169,-0.5615262,2.026557
"Seine_10090002818",1.61682084591091,-0.780789468271169,-0.5615262,-0.4940378
"Seine_10090002868",1.61682084591091,-0.780789468271169,-0.5615262,2.026557
"Seine_41170000512",1.88615058294388,-0.819351464532638,-0.5615262,-0.4940378
"Seine_41170000515",-0.966396337033058,-0.82629429170943,-0.5615262,-0.4940378
"Seine_41170000527",1.88615058294388,-0.819351464532638,-0.5615262,-0.4940378
"Seine_41170000538",-0.966396337033058,-0.82629429170943,-0.5615262,-0.4940378
"Seine_41170000544",-1.57830179653315,-0.8263147361525,-0.5615262,-0.4940378
"Seine_41170000553",1.97562202388639,-0.825000989742522,-0.5615262,2.866755
"Seine_41170000598",1.97562202388639,-0.825000989742522,-0.5615262,2.866755
"Seine_41170000606",1.88615058294388,-0.819351464532638,-0.5615262,-0.4940378
"Seine_41170000611",-1.57830179653315,-0.8263147361525,-0.5615262,-0.4940378
"Seine_41170000618",-0.966396337033058,-0.82629429170943,-0.5615262,-0.4940378
"Seine_41170000656",1.88615058294388,-0.819351464532638,-0.5615262,-0.4940378
"Seine_41170000668",-0.966396337033058,-0.82629429170943,-0.5615262,-0.4940378
"Seine_41170000673",-1.57830179653315,-0.8263147361525,-0.5615262,-0.4940378
"Seine_41170000688",1.97562202388639,-0.825000989742522,-0.5615262,2.866755
"Seine_41170000702",1.88615058294388,-0.819351464532638,-0.5615262,-0.4940378
"Seine_41170000713",-0.966396337033058,-0.82629429170943,-0.5615262,-0.4940378
"Seine_41170000722",-1.57830179653315,-0.8263147361525,-0.5615262,-0.4940378
"Seine_41170000742",1.97562202388639,-0.825000989742522,-0.5615262,2.866755
"Seine_41170000748",1.88615058294388,-0.819351464532638,-0.5615262,-0.4940378
"Seine_41170000776",-0.966396337033058,-0.82629429170943,-0.5615262,-0.4940378
"Seine_41170000787",-0.966396337033058,-0.82629429170943,-0.5615262,-0.4940378
"Seine_41170000800",1.88615058294388,-0.819351464532638,-0.5615262,-0.4940378
